symbol,underlying,underlying_name,side,expiry,dte,strike,underlying_price,moneyness_pct,last,volume,open_interest,vol_oi_ratio,turnover,implied_volatility_pct,big_order_flag,volume_spike_flag,big_order_score,volume_spike_score,liquidity_score,total_score,source
FSLR260327C00205000,FSLR.US,FSLR,C,2026-03-27,9,205.0,200.42,2.29,5.15,116,0,116.0,59740.0,3.13,True,True,57.58,95.92,0.0,74.83,yfinance
SO260515C00050000,SO.US,SO,C,2026-05-15,58,50.0,98.27,-49.12,42.0,20,0,20.0,84000.0,0.0,True,True,100.0,42.86,0.0,74.29,yfinance
D260417C65000.US,D.US,D,C,2026-04-17,30,65.0,63.03,3.13,0.75,151,8278,0.018,15359.0,19.3,True,True,75.0,73.33,0.0,74.25,longbridge
PGR260515P00200000,PGR.US,PGR,P,2026-05-15,58,200.0,203.79,-1.86,7.7,31,0,31.0,23870.0,1.56,True,True,73.33,75.22,0.0,74.18,yfinance
VAL260515C00060000,VAL.US,VAL,C,2026-05-15,58,60.0,97.28,-38.32,38.5,16,0,16.0,61600.0,0.0,True,True,85.71,60.0,0.0,74.14,yfinance
PDD260327C00085000,PDD.US,PDD,C,2026-03-27,9,85.0,104.37,-18.56,21.0,200,0,200.0,420000.0,0.0,True,True,92.86,51.22,0.0,74.12,yfinance
WSM260417P00190000,WSM.US,WSM,P,2026-04-17,30,190.0,182.17,4.3,15.18,180,0,180.0,273240.0,0.0,True,True,75.0,72.73,0.0,73.98,yfinance
WDC260327P265000.US,WDC.US,WDC,P,2026-03-27,9,265.0,313.81,-15.55,2.82,612,72,8.384,243567.0,89.8,True,True,62.5,87.63,0.0,73.81,longbridge
ASO260327P00049000,ASO.US,ASO,P,2026-03-27,9,49.0,49.9,-1.8,1.2,245,0,245.0,29400.0,3.13,True,True,66.67,82.35,0.0,73.73,yfinance
DVN260515C00052500,DVN.US,DVN,C,2026-05-15,58,52.5,47.42,10.71,1.3,487,0,487.0,63310.0,6.25,True,True,64.71,84.62,0.0,73.67,yfinance
WBD260515P00027000,WBD.US,WBD,P,2026-05-15,58,27.0,27.64,-2.32,0.43,522,0,522.0,22446.0,1.56,True,True,68.75,79.57,0.0,73.62,yfinance
UBER260515C00080000,UBER.US,UBER,C,2026-05-15,58,80.0,77.79,2.84,4.48,855,0,855.0,383040.0,1.56,True,True,85.19,58.54,0.0,73.2,yfinance
CLSK260417C00012000,CLSK.US,CLSK,C,2026-04-17,30,12.0,10.11,18.69,0.45,413,0,413.0,18585.0,12.5,True,True,72.22,74.07,0.0,73.05,yfinance
UBER260417C00075000,UBER.US,UBER,C,2026-04-17,30,75.0,77.79,-3.59,5.31,770,0,770.0,408870.0,0.0,True,True,88.89,53.66,0.0,73.04,yfinance
DVN260417C00040000,DVN.US,DVN,C,2026-04-17,30,40.0,47.42,-15.65,7.55,159,0,159.0,120045.0,0.0,True,True,82.35,61.54,0.0,72.99,yfinance
DHI260327P00157500,DHI.US,DHI,P,2026-03-27,9,157.5,142.14,10.81,17.05,44,0,44.0,75020.0,0.0,True,True,66.67,80.65,0.0,72.96,yfinance
